year,month,country_chart,artist,track,rank,streams,spotify_link
2017,01,Global,Ed Sheeran,Shape of You,1.0,52796064,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2017,01,Global,Ed Sheeran,Castle on the Hill,4.0,35168298,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
2017,01,Global,The Chainsmokers,Paris,3.0,28928405,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
2017,01,Global,"ZAYN, Taylor Swift","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5.0,26670991,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
2017,01,Global,"The Weeknd, Daft Punk",Starboy,7.0,24480907,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2017,01,Global,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),6.0,22844114,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
2017,01,Global,Luis Fonsi,Despacito (Featuring Daddy Yankee),50.0,22740029,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2017,01,Global,"The Chainsmokers, Halsey",Closer,10.0,20618002,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2017,01,Global,James Arthur,Say You Won't Let Go,8.0,19156532,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
2017,01,Global,Migos,Bad and Boujee (feat. Lil Uzi Vert),13.0,18937768,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
2017,01,Global,"The Weeknd, Daft Punk",I Feel It Coming,11.0,18566829,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
2017,01,Global,"Maroon 5, Kendrick Lamar",Don't Wanna Know,12.0,18411654,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
2017,01,Global,Drake,Fake Love,15.0,18376989,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
2017,01,Global,Starley,Call On Me - Ryan Riback Extended Remix,14.0,16695989,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
2017,01,Global,"DJ Snake, Justin Bieber",Let Me Love You,18.0,16695321,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
2017,01,Global,Shakira,Chantaje (feat. Maluma),15.0,16172733,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
2017,01,Global,Bruno Mars,24K Magic,20.0,15722670,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
2017,01,Global,"Steve Aoki, Louis Tomlinson",Just Hold On,17.0,15181450,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
2017,01,Global,Machine Gun Kelly,Bad Things (with Camila Cabello),18.0,14805806,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
2017,01,Global,"Rae Sremmurd, Gucci Mane",Black Beatles,28.0,14494204,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
2017,01,Global,"Martin Garrix, Dua Lipa",Scared to Be Lonely,19.0,14012414,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
2017,01,Global,Alessia Cara,"How Far I'll Go - From ""Moana""",36.0,13166608,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
2017,01,Global,"Drake, WizKid, Kyla",One Dance,23.0,12766155,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2017,01,Global,"Martin Garrix, Bebe Rexha",In the Name of Love,29.0,12737156,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
2017,01,Global,Major Lazer,Cold Water (feat. Justin Bieber & MØ),26.0,12641038,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
2017,01,Global,"Ariana Grande, Nicki Minaj",Side To Side,24.0,12593728,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
2017,01,Global,Shawn Mendes,Mercy,31.0,12117665,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
2017,01,Global,"The Vamps, Matoma",All Night,27.0,12029184,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
