,artist,track
0,"The Weeknd, Daft Punk",Starboy
1,"The Chainsmokers, Halsey",Closer
2,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie)
3,"DJ Snake, Justin Bieber",Let Me Love You
4,"ZAYN, Taylor Swift","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
5,"Maroon 5, Kendrick Lamar",Don't Wanna Know
6,Drake,Fake Love
7,James Arthur,Say You Won't Let Go
8,Bruno Mars,24K Magic
9,"The Weeknd, Daft Punk",I Feel It Coming
10,"Rae Sremmurd, Gucci Mane",Black Beatles
11,"Drake, WizKid, Kyla",One Dance
12,Shakira,Chantaje (feat. Maluma)
13,Major Lazer,Cold Water (feat. Justin Bieber & MØ)
14,Starley,Call On Me - Ryan Riback Extended Remix
15,"Martin Garrix, Bebe Rexha",In the Name of Love
16,Migos,Bad and Boujee (feat. Lil Uzi Vert)
17,"Ariana Grande, Nicki Minaj",Side To Side
18,"Steve Aoki, Louis Tomlinson",Just Hold On
19,"Hailee Steinfeld, Grey, Zedd",Starving
20,Machine Gun Kelly,Bad Things (with Camila Cabello)
21,Shawn Mendes,Mercy
22,Calvin Harris,My Way
23,"The Chainsmokers, Phoebe Ryan",All We Know
24,The Chainsmokers,Don't Let Me Down (feat. Daya)
25,Shawn Mendes,Treat You Better
26,Twenty One Pilots,Heathens
27,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
28,Alessia Cara,Scars To Your Beautiful
29,"The Vamps, Matoma",All Night
30,Sia,Cheap Thrills
31,Sage The Gemini,Now and Later
32,John Legend,Love Me Now
33,"Jonas Blue, RAYE",By Your Side
34,CNCO,Reggaetón Lento (Bailemos)
35,Alan Walker,Alone
36,"Nevada, Mark Morrison, Fetty Wap",The Mack
37,Zara Larsson,I Would Like
38,"Robin Schulz, David Guetta, Cheat Codes",Shed a Light
39,Mike Posner,I Took A Pill In Ibiza - Seeb Remix
40,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez)
41,"Alok, Bruno Martini, Zeeba",Hear Me Now
42,"J Balvin, Pharrell Williams, BIA, Sky",Safari
43,Shelley FKA DRAM,Broccoli (feat. Lil Yachty)
44,Calvin Harris,This Is What You Came For (feat. Rihanna)
45,Alessia Cara,"How Far I'll Go - From ""Moana"""
46,Aminé,Caroline
47,Fifth Harmony,Work from Home (feat. Ty Dolla $ign)
48,Ricky Martin,Vente Pa' Ca (feat. Maluma)
49,Zion & Lennox,Otra vez (feat. J Balvin)
50,The Weeknd,Party Monster
51,"NEIKED, Dyo",Sexual
52,"Jonas Blue, JP Cooper",Perfect Strangers
53,Sia,The Greatest (feat. Kendrick Lamar)
54,Twenty One Pilots,Ride
55,Big Sean,Bounce Back
56,J. Cole,Deja Vu
57,Martin Jensen,Solo Dance
58,"Rihanna, Drake",Work
