subscriber_type,start_hour,number
Subscriber,4,55
Subscriber,3,64
Customer,4,70
Customer,5,98
Customer,3,114
Customer,2,200
Subscriber,5,201
Customer,6,231
Subscriber,2,257
Customer,1,340
Customer,0,411
Subscriber,6,458
Customer,23,471
Subscriber,1,474
Customer,7,593
Customer,22,690
Subscriber,0,822
Customer,21,884
Subscriber,23,927
Subscriber,7,1038
Customer,8,1174
Subscriber,22,1237
Customer,20,1271
Subscriber,21,1546
Customer,19,1956
Subscriber,20,1984
Subscriber,8,2291
Customer,9,2405
Subscriber,19,2531
Customer,18,2964
Subscriber,18,3417
Subscriber,9,3449
Customer,10,3580
Subscriber,17,3932
Customer,17,4038
Subscriber,10,4314
Subscriber,14,4322
Subscriber,16,4429
Subscriber,15,4440
Subscriber,13,4674
Subscriber,12,4812
Subscriber,11,4828
Customer,11,4867
Customer,16,5326
Customer,12,5756
Customer,15,5762
Customer,14,5940
Customer,13,6011
